Collection Name,Title#1,Other Title#2,Other Title#3,Other Title#4,Name Part#1,Name Display Form#1,Name Type#1,Name Part#2,Name Display Form#2,Name Type#2,Type of Resource#1,Place Term#1,Publisher#1,Date Issued#1,Language Term#1,Language Term Code#1,Language Term Type#1,Internet Media Type#1,Extent#1,Digital Origin#1,Form#2,Form Authority#2,Form#3,Form Authority#3,Note#1,Subject Topic#1,Subject Geographic#1,Subject Geographic#2,Subject Geographic#3,Subject Geographic#4,Identifier#1,Identifier URI#1,Bibliographic Number#1,Physical Location#1,Shelf Locator#1,Rights#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1911,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1911_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",84,4567,narv_dir_LeadvilleBus_1911_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1912,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1912_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",85,4567,narv_dir_LeadvilleBus_1912_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1913,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1913_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",86,4567,narv_dir_LeadvilleBus_1913_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1914,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1914_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",87,4567,narv_dir_LeadvilleBus_1914_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1915,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1915_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",88,4567,narv_dir_LeadvilleBus_1915_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1916,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1916_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",89,4567,narv_dir_LeadvilleBus_1916_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1917,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1917_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",90,4567,narv_dir_LeadvilleBus_1917_new_ocr.pdf
Colorado Directories,Corbett & Ballenger's ... annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.) [sic],Corbett & Ballenger,1881,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1881.pdf,Catalog record: http://libraries.colorado.edu/record=b1605335~S3,b16053357,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",118,4567,narv_dir_LeadvilleBus_1881.pdf
Colorado Directories,Corbett & Ballenger's ... annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.) [sic],Corbett & Ballenger,1882,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1882.pdf,Catalog record: http://libraries.colorado.edu/record=b1605335~S3,b16053357,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",119,4567,narv_dir_LeadvilleBus_1882.pdf
Colorado Directories,Corbett & Ballenger's ... annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.) [sic],Corbett & Ballenger,1883,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1883_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1605335~S3,b16053357,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",120,4567,narv_dir_LeadvilleBus_1883_new_ocr.pdf
Colorado Directories,Corbett & Ballenger's ... annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.) [sic],Corbett & Ballenger,1884,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1884_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1605335~S3,b16053357,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",121,4567,narv_dir_LeadvilleBus_1884_new_ocr.pdf
Colorado Directories,Corbett & Ballenger's ... annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.) [sic],Corbett & Ballenger,1885,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1885_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1605335~S3,b16053357,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",122,4567,narv_dir_LeadvilleBus_1885_new_ocr.pdf
Colorado Directories,Corbett & Ballenger's ... annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.) [sic],Corbett & Ballenger,1886,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1886_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1605335~S3,b16053357,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",123,4567,narv_dir_LeadvilleBus_1886_new_ocr.pdf
